plz,consumption
10115,5061
10117,6088.7
10119,3049
10178,983
10179,4218
10243,3540
10245,3324.4
10247,1109
10249,2090
10315,1803.7
10317,6000.7
10318,4881.4
10319,403
10365,2610.4
10367,270
10369,580
10405,2931.6
10407,3426.7
10409,2279
10435,2114.6
10437,981.6
10439,1425
10551,213
10553,1566
10555,513
10557,5270
10559,575
10585,1191
10587,5335
10589,1231
10623,1997
10625,846.7
10627,314.2
10629,1090
10707,2367.7
10709,1073.7
10711,1322
10713,1857
10715,1315
10717,1377
10719,4529
10777,437
10779,161.4
10781,664
10783,231
10785,6492
10787,1979
10789,463
10823,154
10825,242
10827,679.6
10829,4373.7
10961,1859
10963,3652
10965,1603
10967,608
10969,2779.5
10997,1579
10999,2477
12043,381
12045,220
12047,318
12049,128
12051,867.2
12053,1015
12055,396
12057,1251
12059,875.7
12099,2174
12101,722.6
12103,2994
12105,989
12107,3619.3
12109,1873
12157,295.4
12159,674.7
12161,405.7
12163,1780
12165,447
12167,682
12169,949.2
12203,4073.7
12205,5269
12207,4019.3
12209,2575.8
12247,1446
12249,2748.7
12277,5256.7
12279,198
12305,2647.7
12307,1478.7
12309,1235.7
12347,2118
12349,6792
12351,2537.7
12353,2765.6
12355,5780
12357,2447.7
12359,865
12435,2981.4
12437,1843.1
12439,2281
12459,2291.4
12487,5625
12489,4300.3
12524,5466.3
12526,3807
12527,3816.8
12555,4027.2
12557,6215
12559,3427.7
12587,1237.7
12589,2318.1
12619,2546
12621,5986.4
12623,10637.4
12627,1207
12629,572
12679,953
12681,3666.7
12683,8852.8
12685,2067.7
12687,869
12689,365
13051,733.7
13053,13596.7
13055,7221.1
13057,875.7
13059,759
13086,4744.1
13088,3522.4
13089,4759.9
13125,46182.00
13127,6131.80
13129,1533.7
13156,5560
13158,3148.7
13159,374.00
13187,4439.8
13189,2078.3
13347,1143
13349,44
13351,456
13353,1703.7
13355,712
13357,1038
13359,444
13403,3162.7
13405,802
13407,2608
13409,2783.6
13435,523
13437,2685.3
13439,308
13465,4176.70
13467,2389.9
13469,2521.7
13503,3885.10
13505,1655.5
13507,5739.7
13509,5240.7
13581,2561
13583,2139
13585,1296
13587,3179.5
13589,1661
13591,3402.7
13593,1375.3
13595,2666.4
13597,4259.7
13599,7192.8
13627,3569
13629,1183.4
14050,1564.7
14052,1210
14053,110
14055,1775.9
14057,1830.7
14059,4763
14089,9017.8
14109,3736.7
14129,4135.4
14163,2912.7
14165,1383.4
14167,3546.7
14169,1912
14193,4008
14195,6136.8
14197,1109.6
14199,3678.3
