pop,lng,lat
3,13.36921176,52.5343675
0,13.36850974,52.53517539
21,13.36748506,52.53603716
808,13.37286271,52.53672015
0,13.37138976,52.53566598
0,13.3736902,52.53551989
56,13.3730383,52.53209325
0,13.37456612,52.53320964
0,13.37652813,52.53383544
0,13.3740051,52.53236906
0,13.37485721,52.53146588
300,13.37539568,52.53148443
497,13.37251011,52.53378226
259,13.37532164,52.53043112
0,13.37613023,52.52945024
570,13.38096743,52.53140073
471,13.37811843,52.53151399
0,13.37947532,52.53066883
0,13.37741171,52.53020956
0,13.37843628,52.5278756
0,13.37902747,52.5279176
0,13.37689717,52.52230553
175,13.37807805,52.52275907
16,13.37910414,52.52311917
0,13.37935686,52.52269022
96,13.3807884,52.5232242
0,13.38265697,52.52352019
164,13.38696129,52.52314552
0,13.38669706,52.52221005
424,13.38538206,52.52240923
474,13.38198526,52.52243868
31,13.37892659,52.52201453
358,13.38301919,52.5216256
15,13.38185824,52.52060976
0,13.38193701,52.52069675
0,13.37513768,52.5235006
501,13.36993191,52.53349977
0,13.37100268,52.53210472
141,13.37110099,52.53294898
81,13.37322887,52.52986393
301,13.38335274,52.52931099
33,13.38187028,52.52883977
9,13.38516813,52.52760103
4,13.3840795,52.5281751
136,13.38581215,52.52733054
90,13.38038876,52.52949454
0,13.37827931,52.52883982
0,13.37883927,52.52894924
48,13.3795682,52.52871813
0,13.38080878,52.52733706
0,13.38251932,52.52570452
474,13.38564106,52.52497764
213,13.38015617,52.52421909
3,13.38018779,52.52680937
117,13.38056947,52.52780128
0,13.38180384,52.52440121
39,13.37678552,52.52587098
0,13.38093276,52.51961338
0,13.37801648,52.5214131
0,13.37868937,52.52017899
0,13.37309866,52.5241991
39,13.37300016,52.5332919
0,13.37249896,52.52605151
0,13.37622582,52.52129848
0,13.37795383,52.51961504
0,13.36924386,52.53269182
0,13.3740145,52.52749589
0,13.38284021,52.51976162
0,13.3867246,52.52143473
0,13.37218687,52.52424572
0,13.37371399,52.52275141
0,13.37390633,52.52451593
0,13.38227664,52.52124023
1238,13.37870581,52.53563991
24,13.38372391,52.53128901
538,13.3853306,52.53042741
542,13.38643882,52.52948747
761,13.38739612,52.52828616
0,13.38849191,52.53114928
440,13.39006979,52.53053372
477,13.38841065,52.53003786
993,13.38955821,52.52865119
858,13.39161003,52.52913913
385,13.39352511,52.530229
0,13.39390652,52.52977841
385,13.39441578,52.52920415
842,13.39278237,52.53130738
27,13.3918367,52.53106433
1073,13.39576377,52.53097702
0,13.3959419,52.5301687
1444,13.39843998,52.53097614
631,13.39759755,52.53383227
53,13.3966013,52.53300196
500,13.39524121,52.53377493
0,13.39511168,52.53257747
286,13.39025146,52.53260791
985,13.39628886,52.53582278
328,13.39508515,52.53729102
281,13.39784804,52.53831971
531,13.39833162,52.53768929
489,13.40014833,52.5385755
427,13.40150457,52.53896021
209,13.40218128,52.53801911
251,13.40087928,52.53765
1118,13.39896934,52.53630463
0,13.39954555,52.53684288
1431,13.40008317,52.5338992
780,13.40198245,52.53582869
649,13.40363745,52.53609613
280,13.40316031,52.53982417
485,13.40356277,52.5391673
613,13.40411526,52.53800803
3,13.40453457,52.53826867
468,13.40504734,52.53664196
668,13.40546854,52.5352621
0,13.40378414,52.53461951
238,13.40408189,52.53375548
671,13.40666511,52.53425944
541,13.4057486,52.5331735
255,13.40496108,52.53224988
655,13.40457706,52.53147704
396,13.40272459,52.53054041
56,13.40388557,52.53051744
361,13.4048946,52.53018248
0,13.40202864,52.53714851
986,13.40157702,52.53480214
396,13.40111424,52.53100388
3,13.4016567,52.53233563
202,13.40207874,52.53298841
0,13.38959393,52.53442463
0,13.39195891,52.53354833
37,13.39258028,52.53522601
59,13.39288118,52.5365622
811,13.39419766,52.53535382
888,13.37642975,52.53720813
774,13.37936931,52.53668483
0,13.37846489,52.53836641
3,13.38181287,52.53651957
0,13.38386474,52.53569311
0,13.38478096,52.53372117
410,13.38029231,52.53470598
1708,13.38155922,52.53314355
157,13.38307138,52.53362119
114,13.38795334,52.53240498
0,13.38642192,52.53224583
0,13.38726276,52.53185107
0,13.38521285,52.53176684
0,13.38017551,52.5383787
844,13.38991006,52.52716857
307,13.39356927,52.5280129
487,13.39599225,52.52866016
293,13.39427067,52.52721432
9,13.39587678,52.52744386
249,13.39690694,52.52785379
786,13.39125678,52.52651892
86,13.38964686,52.52506119
0,13.38869797,52.52392466
309,13.3898241,52.52302304
218,13.39094413,52.52398373
18,13.39313385,52.52301333
0,13.39364186,52.52405882
169,13.39219636,52.52574972
233,13.393902,52.52560705
6,13.39612838,52.52591884
143,13.39704919,52.52673498
233,13.39625166,52.52516381
558,13.39779107,52.52451495
31,13.39512134,52.52316218
0,13.39665297,52.52310788
0,13.39668688,52.52264047
65,13.39909731,52.52260974
99,13.39993654,52.52336015
47,13.40120131,52.52296115
0,13.40259043,52.52301751
220,13.40445631,52.52513836
15,13.40036147,52.52728013
585,13.40221167,52.52716171
402,13.40122284,52.52841287
245,13.39958743,52.52822487
180,13.3985653,52.5280042
0,13.39790064,52.52824443
422,13.3996924,52.52918033
580,13.40357207,52.52927506
549,13.40713966,52.52880322
43,13.40268321,52.52858378
0,13.40303915,52.52791278
0,13.40403641,52.52849025
97,13.40424064,52.52800272
396,13.40599846,52.52801456
362,13.40773893,52.52774465
83,13.40398623,52.52750331
482,13.40626257,52.52696708
0,13.4038604,52.5268614
147,13.40533155,52.52628042
310,13.40621559,52.52563401
212,13.39922482,52.52571424
392,13.40158763,52.5244878
0,13.40031123,52.52422201
0,13.40012497,52.52515748
692,13.40103867,52.5262302
748,13.40515387,52.52406102
0,13.38983596,52.52236773
0,13.39283911,52.52234429
0,13.39538382,52.52217
16,13.40967363,52.52840789
100,13.41093814,52.52816263
201,13.41307572,52.52755383
26,13.4148084,52.52691325
9,13.41354134,52.52607145
110,13.41196857,52.52599156
0,13.4114599,52.52643713
103,13.41192896,52.52712393
351,13.41041783,52.52664767
492,13.40963871,52.52740437
0,13.40884338,52.52747225
685,13.40774869,52.52576107
354,13.4088969,52.52552382
473,13.40988931,52.52525287
608,13.41145744,52.52482333
305,13.40837912,52.52373323
292,13.40999329,52.52336962
281,13.41592558,52.52586218
772,13.41756438,52.52526696
0,13.4125024,52.52228918
0,13.41388448,52.52180134
0,13.40883025,52.52102229
24,13.40808307,52.5198931
0,13.39927041,52.5218632
85,13.40257143,52.52020204
0,13.40462843,52.51852168
347,13.40539937,52.51694408
3,13.40716508,52.51636908
0,13.4074175,52.51682839
391,13.40658763,52.51745699
0,13.40853335,52.51829676
0,13.4092257,52.51774104
589,13.41063663,52.51925262
0,13.41241358,52.52012996
54,13.4142998,52.51838789
12,13.41321851,52.5178027
0,13.41290979,52.5177565
0,13.41127388,52.5176655
0,13.41009447,52.51681018
0,13.40933003,52.51641698
0,13.41155356,52.51656644
0,13.413528,52.51537599
0,13.41321249,52.51700186
102,13.41334533,52.51629555
0,13.41551742,52.51657428
7,13.41621013,52.51550409
0,13.41667969,52.5159609
0,13.414193,52.52482765
692,13.41493623,52.52424838
0,13.41447166,52.52300471
0,13.41653118,52.52648738
0,13.41783678,52.52594989
308,13.40525945,52.52277191
0,13.40885199,52.52251773
165,13.40777868,52.51734004
51,13.40793342,52.51651856
0,13.40756461,52.51609693
181,13.4065388,52.51608811
0,13.40896866,52.5155996
34,13.41003401,52.51571404
25,13.41134133,52.51540199
3,13.41612466,52.52425593
285,13.41768712,52.524005
0,13.41672752,52.52318561
1234,13.4060417,52.52176319
115,13.40143318,52.52153988
18,13.40331814,52.52210275
0,13.39899707,52.52129133
0,13.40130481,52.51980373
0,13.40321753,52.51790482
0,13.40546234,52.51590876
0,13.41237736,52.51453315
0,13.39860002,52.5222735
0,13.40260292,52.52267156
0,13.40231107,52.52268151
0,13.40704087,52.52305173
0,13.41269885,52.5205305
0,13.41103319,52.52161831
0,13.41590389,52.51732167
0,13.37869364,52.51846832
10,13.38219662,52.51752945
0,13.38471546,52.51735151
48,13.38723169,52.51751381
28,13.38708817,52.51827419
63,13.38461376,52.51811031
8,13.38133546,52.51863463
0,13.38388564,52.51904201
0,13.38587932,52.51990384
0,13.38741066,52.52084818
12,13.38898456,52.52091965
163,13.39073227,52.52114712
0,13.39286578,52.52113368
0,13.39493661,52.52176438
0,13.39742498,52.52071384
163,13.39364988,52.51990882
24,13.39480236,52.51965535
0,13.39121679,52.51955552
12,13.38937086,52.51931899
0,13.3915322,52.51821583
0,13.39369084,52.51834104
3,13.39574568,52.51905061
0,13.39559852,52.51799606
0,13.39696991,52.51809506
0,13.39881938,52.51942874
0,13.39923347,52.51861865
0,13.40075536,52.51939984
0,13.38238611,52.51657908
0,13.38487152,52.51674022
0,13.38742069,52.51690412
0,13.38979178,52.51706282
0,13.39166939,52.517187
0,13.39411743,52.51735573
0,13.38013896,52.51644098
10,13.37899753,52.51734497
0,13.37880732,52.51670162
79,13.38690829,52.51918279
7,13.38951952,52.51842555
16,13.3896415,52.51767524
0,13.39687029,52.51880488
0,13.3942837,52.52145809
0,13.39528855,52.52074975
0,13.39644307,52.51998922
0,13.39808367,52.51841539
0,13.38699043,52.52026704
0,13.38996815,52.52009637
0,13.39479042,52.52104413
116,13.38248054,52.51054782
132,13.37942518,52.51041711
39,13.38151315,52.50844779
302,13.38708173,52.50882953
0,13.38620009,52.50797491
0,13.38945128,52.50900557
80,13.38890319,52.50984625
63,13.38842742,52.51070603
249,13.38818564,52.51158007
221,13.38377212,52.51200406
0,13.38611404,52.51237893
19,13.38803645,52.51246491
68,13.38789301,52.51334496
45,13.3858214,52.51322008
0,13.38559904,52.51408763
41,13.3870334,52.51417356
308,13.38836339,52.51426771
74,13.38760341,52.51509863
0,13.38537502,52.51495884
53,13.38353725,52.51588925
3,13.3867857,52.51609915
13,13.38804708,52.51617973
36,13.39009371,52.51526259
102,13.39066337,52.51172308
36,13.39081124,52.51083538
225,13.39266396,52.51113927
6,13.39258825,52.51184472
0,13.39231092,52.51361221
20,13.39200419,52.51537934
9,13.3921646,52.51643403
0,13.39389342,52.51652664
0,13.394753,52.51665337
13,13.39378861,52.51549315
0,13.39493692,52.51564418
0,13.39596027,52.51624349
223,13.39502001,52.51466547
74,13.39531325,52.51371585
27,13.39477567,52.51285031
0,13.3965876,52.51305349
11,13.39506006,52.51198547
370,13.39519251,52.51128372
0,13.39978882,52.51666069
0,13.40164357,52.51733727
7,13.40455088,52.51567739
0,13.4017559,52.51529793
0,13.40000278,52.51400549
601,13.4026108,52.51375522
15,13.40386778,52.51443341
10,13.40499726,52.51394913
0,13.40395703,52.51329764
3,13.40308082,52.51282912
304,13.39095741,52.50994278
0,13.3930859,52.51006922
1612,13.39599749,52.51026034
458,13.40322287,52.51086721
44,13.4048688,52.51056055
272,13.40444602,52.50963444
0,13.40107367,52.50988359
396,13.40150813,52.50940284
207,13.39859079,52.50953245
0,13.39826701,52.50863431
687,13.39560182,52.50936753
39,13.39565345,52.50844829
23,13.393027,52.50918086
0,13.39318829,52.5083008
160,13.39109527,52.5090618
33,13.39125029,52.50817873
31,13.39798925,52.51641759
0,13.37893636,52.51599282
11,13.37993994,52.51549486
0,13.37828095,52.51531434
374,13.38208595,52.51162937
9,13.39024039,52.51435903
0,13.39036613,52.5134955
25,13.39050135,52.51261182
0,13.39902652,52.51045535
456,13.40041573,52.51057649
0,13.40213038,52.5103582
751,13.4032475,52.50921574
476,13.3854625,52.510573
23,13.38571285,52.51139413
0,13.38423956,52.51119639
18,13.38988518,52.51655252
0,13.389976,52.5160111
0,13.389943,52.51626912
0,13.38995463,52.50835231
0,13.3786279,52.51394367
0,13.37844159,52.51275473
0,13.37988405,52.51289292
0,13.37833764,52.51155704
