traffic,lng,lat
45700,13.19709657,52.51299922
44100,13.18959655,52.51451789
9200,13.19713578,52.514813
9200,13.19740044,52.51603547
42800,13.19395926,52.51364048
9100,13.19684724,52.51344255
46600,13.2019468,52.51200128
46100,13.2011308,52.51216326
9300,13.19758271,52.51687107
9700,13.1978074,52.5188309
9300,13.19776784,52.51784657
41400,13.22513647,52.46001028
48600,13.21163894,52.51006296
49100,13.21681809,52.50902246
46600,13.20307964,52.51177464
46600,13.20511289,52.51137506
48600,13.21495832,52.50939714
49800,13.22790658,52.50681735
50100,13.22921615,52.50673579
50400,13.23092469,52.50682065
50600,13.23361593,52.50698901
49600,13.22075459,52.50823308
7700,13.21941226,52.51456705
10300,13.23673153,52.46933978
41900,13.23690695,52.469551
42800,13.24822855,52.47888187
12700,13.247444,52.46638283
9400,13.24878113,52.46846542
6600,13.24881213,52.46728776
17800,13.23960085,52.46884783
37800,13.23698047,52.46937024
45200,13.22500627,52.46014667
50600,13.24111335,52.50745397
50600,13.2369026,52.50719002
50600,13.23923577,52.5073403
51600,13.24386392,52.50762092
53000,13.24762541,52.50785071
9400,13.26233329,52.48013178
9400,13.26223017,52.48106912
10500,13.26279126,52.48222623
49200,13.24813051,52.47900989
42800,13.26111294,52.48946641
53900,13.25037425,52.50801842
54700,13.25263128,52.50815899
55600,13.25573705,52.50835363
56700,13.25766974,52.50848083
57500,13.25868855,52.50854266
58400,13.25952363,52.50859106
40300,13.26281496,52.50878714
20400,13.26110948,52.50839183
23600,13.26040872,52.51648859
27800,13.26135437,52.51591915
20700,13.25925295,52.51735829
19100,13.25750668,52.51868635
18300,13.25666342,52.51932674
8600,13.27131049,52.48006329
8600,13.26964915,52.48085034
8600,13.27067635,52.48036226
8600,13.27288985,52.47931912
8900,13.27625032,52.47828021
9100,13.27791339,52.47794381
7400,13.26390318,52.48562274
9400,13.27012348,52.4858809
9500,13.27417861,52.48795943
11000,13.26529762,52.48321549
9500,13.27744071,52.49051727
9400,13.26627953,52.48363022
8600,13.26590373,52.48317372
8600,13.26686031,52.48220736
8600,13.26837589,52.48145393
9400,13.27224598,52.48687713
11600,13.26415461,52.48284438
9400,13.26812177,52.48469514
9400,13.27324415,52.48722916
9500,13.2745827,52.48847245
9500,13.27544249,52.48958643
6800,13.27183514,52.49849288
6800,13.27091523,52.49773342
22100,13.27285836,52.49935516
49200,13.26982466,52.49656401
17500,13.27327911,52.49904905
17500,13.2686811,52.49548179
25300,13.2715721,52.49704983
20400,13.26345677,52.50663911
21400,13.2669266,52.50118771
27500,13.27407183,52.50029578
27500,13.27506707,52.50108537
49200,13.2728125,52.4988781
13900,13.27739706,52.5016321
18100,13.27497041,52.50038691
33100,13.27319175,52.50977135
30600,13.274433,52.50952303
9200,13.27603852,52.51267259
40400,13.26547081,52.50894674
40400,13.26922319,52.50916576
19600,13.26692628,52.5126383
3900,13.26773949,52.51411818
40400,13.26748429,52.50906502
34900,13.27167439,52.50906136
18700,13.26512961,52.51369606
22000,13.26951879,52.511103
5700,13.27150862,52.51344369
3900,13.26575961,52.5144687
3900,13.26922162,52.51385241
20800,13.26825935,52.51185586
33200,13.27158584,52.50975598
7400,13.27422321,52.51296156
20300,13.26359786,52.51460014
3900,13.26386859,52.51479742
36500,13.27337072,52.50872791
33600,13.27346135,52.50897758
23800,13.26258622,52.51520371
23200,13.27042138,52.51057382
34300,13.27266473,52.50885874
40300,13.27409202,52.50834019
43500,13.27432068,52.51909821
28400,13.27846198,52.47053714
28400,13.27841616,52.46927446
28400,13.27850116,52.47160699
28400,13.27854064,52.4727644
8000,13.28995383,52.47289259
7900,13.28812159,52.47146391
10500,13.29001053,52.47030492
10000,13.2897683,52.47016809
4800,13.29036811,52.46971138
9600,13.28941633,52.47039567
10700,13.28940558,52.47070366
8000,13.28971108,52.4715115
11800,13.28989287,52.47063488
14400,13.28934689,52.46771086
28400,13.27832662,52.46726849
14400,13.28901313,52.46634867
14400,13.28956897,52.469459
8900,13.28915032,52.47643124
7100,13.28502583,52.47979395
10800,13.28548203,52.47940854
29100,13.28635922,52.4802095
10200,13.28630198,52.47871311
9700,13.28749256,52.47770857
8900,13.28834584,52.47701562
14100,13.29131941,52.47517623
28400,13.27853147,52.47374568
7900,13.28584005,52.47315941
24700,13.28302366,52.47817527
25900,13.28395003,52.47877337
27000,13.28481965,52.47934209
29100,13.28812431,52.481175
8800,13.28196877,52.47604727
3600,13.28277813,52.47653058
8800,13.28353453,52.47487587
3600,13.28391753,52.47634404
6300,13.28515229,52.4760996
2600,13.28390732,52.47624686
6300,13.28678194,52.47586328
6100,13.28844115,52.47564225
9100,13.29022359,52.47415169
28900,13.27872404,52.47521166
28400,13.278523,52.47460885
15500,13.28110844,52.48098822
9600,13.27971145,52.47758338
15500,13.28084124,52.47816361
28900,13.27925324,52.47561239
28900,13.2800913,52.47622035
28900,13.2807207,52.47666978
23600,13.28174681,52.47734229
14800,13.28125716,52.47657939
23100,13.28071089,52.47708797
29100,13.28939595,52.48186616
4100,13.28558221,52.48224829
28500,13.29114799,52.48281681
11600,13.29096205,52.48972098
17500,13.28122887,52.48253875
17800,13.2828755,52.4842629
21900,13.2842337,52.48571994
4300,13.28443073,52.48512818
4200,13.28528814,52.48366672
9500,13.27917026,52.49092227
