usage,usage_plain,lng,lat
10,Housing area,13.3309202226649,52.5196735316836
10,Housing area,13.3314590621748,52.5205743904376
10,Housing area,13.3321220145934,52.5191351729345
140,City square / promenade,13.3327837099789,52.5188528739357
10,Housing area,13.3333908120997,52.5197370279844
190,Sport use,13.3320688994157,52.5180276626139
110,Body of water,13.3307737892249,52.5189436647685
130,Park / green space,13.3338883729919,52.512986827856
60,Utility area,13.3319188361587,52.5097657478189
50,Public / special use,13.3323530765858,52.5106983455863
40,Commercial and industrial area,13.3334369188042,52.5102916879054
110,Body of water,13.3329948498813,52.5123945819323
10,Housing area,13.2886925081953,52.5201412312276
130,Park / green space,13.2742638776431,52.519114888372
130,Park / green space,13.2770439349602,52.5186045075549
21,Mixed area,13.2810312220574,52.5200066133795
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.281293241866,52.5203752760426
50,Public / special use,13.2773030745626,52.5202277209494
130,Park / green space,13.2952287856637,52.5204715406481
140,City square / promenade,13.2950491364736,52.5198022486686
130,Park / green space,13.2933398001014,52.5220192876266
40,Commercial and industrial area,13.2853025393622,52.5203159541893
40,Commercial and industrial area,13.2841819917776,52.5208279672699
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.28245023739,52.5219400057716
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.2860151183865,52.5262645113424
40,Commercial and industrial area,13.3243574912516,52.520239143371
40,Commercial and industrial area,13.3243740568294,52.5187620584929
50,Public / special use,13.3215387376907,52.5198002403176
130,Park / green space,13.3220925270125,52.51841492232
130,Park / green space,13.3283832153846,52.5152570097653
40,Commercial and industrial area,13.3301346260091,52.5154386921256
50,Public / special use,13.3328571032224,52.5140501222728
40,Commercial and industrial area,13.333473997596,52.5147779593456
40,Commercial and industrial area,13.3284324316506,52.5201025814875
40,Commercial and industrial area,13.3272136611869,52.5186986242136
40,Commercial and industrial area,13.3316145050799,52.5165306732497
80,Traffic area (without roads),13.3293067747521,52.5175836044606
40,Commercial and industrial area,13.3274561712861,52.5170234495413
40,Commercial and industrial area,13.3283268264985,52.5163217867476
21,Mixed area,13.3264662886082,52.5177356711714
21,Mixed area,13.3193326766778,52.5205938187984
110,Body of water,13.3168381709372,52.5201869295345
110,Body of water,13.3218540241587,52.518325460578
110,Body of water,13.3278130433364,52.5153961723693
21,Mixed area,13.3007069312087,52.5200026626717
10,Housing area,13.3043106823165,52.5202131301828
10,Housing area,13.3028843245417,52.519542842212
10,Housing area,13.3037258289806,52.5187977296838
10,Housing area,13.3054294758295,52.5185734937685
21,Mixed area,13.3073950576321,52.5191459264872
130,Park / green space,13.3100351627406,52.5202392669278
50,Public / special use,13.3102437707536,52.5191874305877
10,Housing area,13.3130745565293,52.5192197323295
10,Housing area,13.315156295605,52.5189571778778
130,Park / green space,13.3166561070609,52.5197591604987
10,Housing area,13.3172925131005,52.5186545462673
10,Housing area,13.318961353889,52.5182767234895
10,Housing area,13.3204759595525,52.5176782707709
50,Public / special use,13.322729457276,52.5168768031914
50,Public / special use,13.3092529794703,52.5175089680252
130,Park / green space,13.3123350669094,52.5180458142744
50,Public / special use,13.3123695801374,52.5170751459973
10,Housing area,13.3125453761237,52.5162057487411
10,Housing area,13.3149529696401,52.5165621496213
150,Cemetery,13.3157823753651,52.5171557590766
10,Housing area,13.3179590465863,52.5168053033697
50,Public / special use,13.3196307125352,52.5162653329552
50,Public / special use,13.3217110388812,52.5156162415659
21,Mixed area,13.2860990586397,52.5179415450073
10,Housing area,13.2885250538735,52.5182506426632
130,Park / green space,13.2913767397857,52.5184039480411
10,Housing area,13.2942397752282,52.5184006014748
50,Public / special use,13.2972231730815,52.5190027840698
10,Housing area,13.2973481271272,52.518237123153
10,Housing area,13.2992086965919,52.5180951852902
10,Housing area,13.3004136595378,52.5187305076659
10,Housing area,13.3014895618999,52.5179707706782
10,Housing area,13.3033142117841,52.5178291842099
10,Housing area,13.3049542371501,52.517562954046
10,Housing area,13.2888454052377,52.5171134279156
10,Housing area,13.2919542036887,52.5173004283224
10,Housing area,13.2948857810979,52.5172148836369
10,Housing area,13.2974931756118,52.5173581181923
21,Mixed area,13.2868296086337,52.5153012448319
21,Mixed area,13.2891325190289,52.515921060955
10,Housing area,13.2922310380171,52.516107933178
10,Housing area,13.2950589641441,52.516191944598
50,Public / special use,13.2976077673558,52.5164088467549
130,Park / green space,13.2989595274377,52.5162315454283
10,Housing area,13.2999132662307,52.5164339457444
10,Housing area,13.3003582443607,52.5156069522719
10,Housing area,13.301694298346,52.5162623804148
50,Public / special use,13.3025037330806,52.5172145747986
10,Housing area,13.3036359676714,52.5168910627068
10,Housing area,13.3036579771695,52.5160522923641
10,Housing area,13.3054186096834,52.5169875010984
10,Housing area,13.3056109990003,52.5161554979265
10,Housing area,13.289546511919,52.5142183730885
10,Housing area,13.2924168421505,52.5143871040756
50,Public / special use,13.2928130080415,52.5143836099712
10,Housing area,13.2953795706135,52.5145788697567
10,Housing area,13.3001178848447,52.5144190174112
10,Housing area,13.3020271388945,52.5144530222451
10,Housing area,13.3037777279801,52.5151302685733
10,Housing area,13.3039273300044,52.5140744296128
10,Housing area,13.3057259579018,52.5152354706118
10,Housing area,13.3058615571671,52.5141172242163
10,Housing area,13.3083766552463,52.516053509512
